AVENGER 4C 2.4L I4 S 2008,1.4637802094873649e-13
AVENGER 4C 2008,1.2652389713471345e-14
CALIBER 2.0L I4 SFI 2008,8.743046006086536e-09
CALIBER 2008,6.910481253942257e-18
CARAVAN GRAND FWD V6 2006,7.858528174033647e-08
CAVALIER 4C 2001,1.4662183923899018e-08
COBALT 2.2L I4 MPI 2006,3.9461130484518576e-07
GRAND PRIX 3.8L V6 S 2005,4.520737933326011e-08
GRAND PRIX 3.8L V6 S 2006,1.9791167491287708e-10
IMPALA 2006,3.353490157855031e-13
IMPALA 2007,1.3587141169338122e-29
IMPALA 3.5L V6 SFI 2006,5.3151543629975584e-14
IMPALA 3.5L V6 SFI 2007,2.69780045251355e-12
IMPALA V6 2007,2.6327213402218373e-08
IMPALA V6 2008,7.071242316085855e-22
MALIBU 4C 2.2L I4 MP 2006,1.2077084896320818e-10
MALIBU 4C 2006,3.6179834036940937e-07
MALIBU 4C 2007,3.5628925041701824e-13
MAXIMA 2004,1.2892541250764669e-08
PT CRUISER 2002,6.059777913383044e-10
SEBRING 4C 2.4L I4 E 2008,5.860422441474423e-07
SEBRING 4C 2007,7.437017766257599e-08
SEBRING 4C 2008,3.11562788469173e-12
SEBRING 4C 2009,4.008412433577833e-09
STRATUS V6 2.7L V6 M 2005,9.721278728377753e-13
STRATUS V6 2.7L V6 M 2006,1.359550137588773e-18
STRATUS V6 2006,2.6375682130903345e-12
intercept,0.0
